cislo_licence,ev_cislo,nazev,psc,obec,ulice,cp,okres,kraj,pocet_zdroju
110304104,1,Skládka Regios a.s. - využití skládkového plynu,25264,Úholičky,skládka Úholičky,215,Praha-západ,Středočeský,1
110304104,2,Skládka UHY spol. s r.o. - využití skládkového plynu,27324,Uhy,skládka UHY,,Kladno,Středočeský,1
110304104,3,Skládka .A.S.A. Žabčice spol. s r.o. - využití skládkového plynu,66463,Žabčice,skládka Žabčice,450,Brno-venkov,Jihomoravský,1
110304104,4,Skládka Tisová - využití skládkovéko plynu,35601,Březová,skládka Tisová,,Sokolov,Karlovarský,1
110303780,1,Strnadovský mlýn,26401,Jesenice,Jesenice,1,Příbram,Středočeský,1
110100841,1,MVE TABULOVÉ BOUDY I,54351,Špindlerův Mlýn,Špindlerův Mlýn,53,Trutnov,Královéhradecký,2
110100919,4,MVE PERLA CHOCEŇ,56501,Choceň,T. G. M.,388,Ústí nad Orlicí,Pardubický,2
110100919,5,MVE PERLA CHOCEŇ II,56501,Choceň,Choceň,,Ústí nad Orlicí,Pardubický,1
110101468,1,MALÁ VELEŇ,40502,Malá Veleň,Malá Veleň,37,Děčín,Ústecký,2
110101468,2,FRANTIŠKOV NAD PLOUČNICÍ,40723,Františkov nad Ploučnicí,Františkov nad Ploučnicí,132,Děčín,Ústecký,1
110101468,3,BENEŠOV,40722,Benešov nad Ploučnicí,Benešov nad Ploučnicí,,Děčín,Ústecký,1
110103098,1,Čistírna odpadních vod - Hrdějovice,37361,Hrdějovice,Hrdějovice,,České Budějovice,Jihočeský,2
110103098,3,Úpravna vody Písek,39701,Písek,Písek,,Písek,Jihočeský,1
110103098,4,Čistírna odpadních vod Prachatice,38301,Prachatice,Mlýnská,,Prachatice,Jihočeský,2
110103098,5,AČOV Tábor,39102,Sezimovo Ústí,Průmyslová,,Tábor,Jihočeský,2
110103098,6,ČOV Jindřichův Hradec,37701,Jindřichův Hradec,Jiráskovo předměstí,,Jindřichův Hradec,Jihočeský,1
110101870,1,MVE Hradec Králové III,50009,Hradec Králové,Na Mlejnku,,Hradec Králové,Královéhradecký,3
110101870,2,MVE Kořenov,46849,Kořenov,Kořenov,593,Jablonec nad Nisou,Liberecký,3
110101870,3,MVE Poděbrady,29001,Poděbrady,Poděbrady,71,Nymburk,Středočeský,4
110101870,4,MVE České Vrbné,37011,České Budějovice,České Vrbné,,České Budějovice,Jihočeský,2
110101870,5,MVE Želivka,39601,Sedlice,Sedlice,,Pelhřimov,Vysočina,3
110101870,6,MVE Moravský Most,50002,Hradec Králové,Ingáta Hermanna,555,Hradec Králové,Královéhradecký,2
110909115,1,"FVE OKD Teplo Hlučín, spol. s r.o.",74801,Hlučín,Čs. armády,1263/32,Opava,Moravskoslezský,1
110909115,2,FVE OKD II Teplo Hlučín spol. s r.o.,74801,Hlučín,Čs. armády,1263/32,Opava,Moravskoslezský,1
110909115,3,FVE Cihelní Teplo Hlučín spol. s r.o.,74801,Hlučín,Cihelní,1490,Opava,Moravskoslezský,1
110909115,4,KGJ Cihelní Teplo Hlučín spol. s r.o.,74801,Hlučín,Cihelní,1490,Opava,Moravskoslezský,1
110909115,5,KGJ Dukelská Teplo Hlučín,74801,Hlučín,Dukelská,,Opava,Moravskoslezský,1
110100248,1,Teplárna Na Moráni,43001,Chomutov,Tovární,5533,Chomutov,Ústecký,2
110404296,1,AGRA GROUP a.s.,38715,Střelské Hoštice,Tovární,9,Strakonice,Jihočeský,1
110101711,1,MVE,46361,Raspenava,Hejnická,327,Liberec,Liberecký,1
110202610,1,Mlýn - Homolka,59455,Dolní Loučky,Dolní Loučky,17,Brno-venkov,Jihomoravský,1
111012736,1,"J-VST, s.r.o. - Kyjov, Boršovská, LDS AH-ENERGY",69701,Kyjov,Boršovská,,Hodonín,Jihomoravský,1
111012736,2,"AH-ENERGY, Boršovská, Kyjov - FVE",69701,Kyjov,Boršovská,,Hodonín,Jihomoravský,1
110504608,1,VĚTRNÁ ELEKTRÁRNA VE-1,35134,Nový Kostel,Nový Kostel,,Cheb,Karlovarský,4
110504608,2,VĚTRNÁ ELEKTRÁRNA VE-2,35137,Luby,Luby,,Cheb,Karlovarský,1
110100571,1,C-Energy Planá s.r.o.,39102,Planá nad Lužnicí,Průmyslová,748,Tábor,Jihočeský,7
110100571,2,C-Energy Planá s.r.o.,39102,Planá nad Lužnicí,Průmyslová,748,Tábor,Jihočeský,1
110100571,3,Základní závod - TTA 1,39002,Tábor,U Cihelny,,Tábor,Jihočeský,2
111330486,1,FVE Krouna,53943,Krouna,Krouna,384,Chrudim,Pardubický,1
111330486,2,FVE Nekoř,56163,Nekoř,Nekoř,,Ústí nad Orlicí,Pardubický,1
111330486,3,FVE Žamberk 4005,56401,Žamberk,Žamberk,,Ústí nad Orlicí,Pardubický,1
111330486,4,FVE Dlouhoňovice,56401,Dlouhoňovice,Dlouhoňovice,,Ústí nad Orlicí,Pardubický,1
110304002,1,Malá vodní elektrárna Stupnik,58291,Světlá nad Sázavou,Horní Bohušice,,Havlíčkův Brod,Vysočina,2
110102889,1,"Amylon, a.s. - MVE Ronov nad Sázavou",58222,Přibyslav,Přibyslav,13,Havlíčkův Brod,Vysočina,1
110303797,1,MVE Nekoř,56163,Nekoř,Nekoř,281,Ústí nad Orlicí,Pardubický,1
110101682,1,Antonín Havlík - elektrárna Dobřichovice,25229,Dobřichovice,Za mlýnem,2,Praha-západ,Středočeský,2
110101934,1,MVE Havlovice nad Úpou,54238,Havlovice,Havlovice,,Trutnov,Královéhradecký,1
110100616,1,"MVE - Hradčovice, na řece Olšavě",68733,Drslavice,Drslavice,,Uherské Hradiště,Zlínský,2
110100939,1,"Teplárna ZL 1. ALIACHEM a.s., odštěpný závod SYNTHESIA",53217,Pardubice - Semtín,Pardubice - Semtín,,Pardubice,Pardubický,2
110100939,2,"Teplárna ZL 2. ALIACHEM a.s., odštěpný závod SYNTHESIA",53217,Pardubice - Semtín,Pardubice - Semtín,,Pardubice,Pardubický,2
110303770,1,ALTO PLUS s.r.o.,34901,Stříbro,Kladrubská,,Tachov,Plzeňský,2
110101942,1,GABČÍKOVO,79001,Bělá pod Pradědem,Bělá pod Pradědem,,Jeseník,Olomoucký,2
110101942,2,NAGYMAROSZ,79001,Jeseník,Jeseník,,Jeseník,Olomoucký,3
110101074,1,Nový Mlýn,67571,Náměšť nad Oslavou,Jedov,25,Třebíč,Vysočina,3
110101631,1,ARCH & TEK spol.s r.o.,40501,Děčín,El. Krásnohorské,864/34,Děčín,Ústecký,1
110100763,1,MVE Štítinský jez 1,74791,Štítina,Štítina,,Opava,Moravskoslezský,2
110202606,1,MALÁ VODNÍ ELEKTRÁRNA - VSETÍN - mlýnský náhon,75501,Vsetín,Vsetín,,Vsetín,Zlínský,2
110101159,1,MVE Sokolský ostrov,37001,České Budějovice,Sokolský ostrov,1,České Budějovice,Jihočeský,3
110101159,2,MVE Husinec,38421,Husinec,Husinec,,Prachatice,Jihočeský,1
110101159,3,MVE - Polka,38491,Horní Vltavice,Horní Vltavice,,Prachatice,Jihočeský,2
110101159,4,MVE - Františkov,38501,Kvilda,Kvilda,,Prachatice,Jihočeský,1
110101159,7,Vodní elektrárna Trilčův jez,37001,České Budějovice,Papírenská,,České Budějovice,Jihočeský,2
110100705,2,BŘEZOVÁ - MVE,78401,Litovel,Litovel,15,Olomouc,Olomoucký,1
110100705,3,BYSTROVANY I,77900,Bystrovany,Bystrovany,,Olomouc,Olomoucký,1
110100705,4,BYSTROVANY II,77900,Bystrovany,Bystrovany,,Olomouc,Olomoucký,1
