cislo_licence,ev_cislo,druh,technologie,mw
110100009,1,elektrický,celkový,1.2
110100009,1,elektrický,vodní,1.2
110100009,2,elektrický,celkový,1.329
110100009,2,elektrický,vodní,1.329
110100009,3,elektrický,celkový,0.018
110100009,3,elektrický,vodní,0.018
110100009,4,elektrický,celkový,0.222
110100009,4,elektrický,vodní,0.222
110100009,5,elektrický,celkový,0.432
110100009,5,elektrický,vodní,0.432
110100009,6,elektrický,celkový,0.145
110100009,6,elektrický,vodní,0.145
110100009,7,elektrický,celkový,0.03
110100009,7,elektrický,vodní,0.03
110100009,8,elektrický,celkový,0.055
110100009,8,elektrický,vodní,0.055
110100009,9,elektrický,celkový,0.165
110100009,9,elektrický,vodní,0.165
110100009,10,elektrický,celkový,4.98
110100009,10,elektrický,vodní,4.98
110100009,11,elektrický,celkový,1.296
110100009,11,elektrický,vodní,1.296
110100009,12,elektrický,celkový,0.3
110100009,12,elektrický,vodní,0.3
110100009,13,elektrický,celkový,0.16
110100009,13,elektrický,vodní,0.16
110100009,14,elektrický,celkový,0.075
110100009,14,elektrický,vodní,0.075
110100009,15,elektrický,celkový,5.67
110100009,15,elektrický,vodní,5.67
110100009,16,elektrický,celkový,0.48
110100009,16,elektrický,vodní,0.48
110100009,17,elektrický,celkový,2.5
110100009,17,elektrický,vodní,2.5
110100009,18,elektrický,celkový,2.38
110100009,18,elektrický,vodní,2.38
110100009,19,elektrický,celkový,0.266
110100009,19,elektrický,vodní,0.266
110100009,20,elektrický,celkový,0.2
110100009,20,elektrický,vodní,0.2
110100009,21,elektrický,celkový,0.027
110100009,21,elektrický,sluneční,0.027
110100009,22,elektrický,celkový,0.015
110100009,22,elektrický,sluneční,0.015
110100009,23,elektrický,celkový,0.047
110100009,23,elektrický,vodní,0.047
110100009,24,elektrický,celkový,0.012
110100009,24,elektrický,sluneční,0.012
110100010,1,elektrický,celkový,0.013
110100010,1,elektrický,vodní,0.013
110100011,1,elektrický,celkový,0.019
110100011,1,elektrický,vodní,0.019
110100012,1,elektrický,celkový,0.33
110100012,1,elektrický,vodní,0.33
110100013,1,elektrický,celkový,0.195
110100013,1,elektrický,vodní,0.195
110100014,1,elektrický,celkový,0.029
110100014,1,elektrický,vodní,0.029
110100017,1,elektrický,celkový,0.06
110100017,1,elektrický,vodní,0.06
110100018,1,elektrický,celkový,0.075
110100018,1,elektrický,vodní,0.075
110100018,2,elektrický,celkový,0.005
110100018,2,elektrický,sluneční,0.005
110100030,1,elektrický,celkový,0.035
110100030,1,elektrický,vodní,0.035
110100032,1,elektrický,celkový,0.007
110100032,1,elektrický,větrný,0.007
110100034,1,elektrický,celkový,0.17
110100034,1,elektrický,vodní,0.17
110100037,4,elektrický,celkový,0.18
110100037,4,elektrický,vodní,0.18
110100038,1,elektrický,celkový,0.008
110100038,1,elektrický,vodní,0.008
110100041,1,elektrický,celkový,0.055
110100041,1,elektrický,vodní,0.055
110100045,1,elektrický,celkový,0.033
110100045,1,elektrický,vodní,0.033
110100047,1,elektrický,celkový,0.03
110100047,1,elektrický,vodní,0.03
110100050,1,elektrický,celkový,0.15
110100050,1,tepelný,celkový,3.7
110100050,1,elektrický,plynový a spalovací,0.15
110100050,1,tepelný,plynový a spalovací,3.7
110100050,2,elektrický,celkový,0.104
110100050,2,tepelný,celkový,0.142
110100050,2,elektrický,plynový a spalovací,0.104
110100050,2,tepelný,plynový a spalovací,0.142
110100052,1,elektrický,celkový,0.175
110100052,1,elektrický,vodní,0.175
110100052,2,elektrický,celkový,0.47
110100052,2,elektrický,vodní,0.47
110100068,1,elektrický,celkový,0.066
110100068,1,elektrický,vodní,0.066
110100069,1,elektrický,celkový,0.03
110100069,1,elektrický,vodní,0.03
110100072,1,elektrický,celkový,0.4
110100072,1,tepelný,celkový,41.9
110100072,1,elektrický,parní,0.4
110100072,1,tepelný,parní,13.927
110100072,2,elektrický,celkový,0.03
110100072,2,elektrický,sluneční,0.03
110100081,1,elektrický,celkový,0.2
110100081,1,elektrický,vodní,0.2
110100081,3,elektrický,celkový,0.756
110100081,3,elektrický,vodní,0.756
110100081,5,elektrický,celkový,0.361
110100081,5,elektrický,vodní,0.361
110100081,6,elektrický,celkový,0.608
110100081,6,elektrický,vodní,0.608
110100081,7,elektrický,celkový,0.496
110100081,7,elektrický,vodní,0.496
110100081,9,elektrický,celkový,0.21
110100081,9,elektrický,vodní,0.21
110100081,10,elektrický,celkový,0.544
110100081,10,elektrický,vodní,0.544
110100086,1,elektrický,celkový,0.11
110100086,1,elektrický,vodní,0.11
110100086,2,elektrický,celkový,0.022
110100086,2,elektrický,vodní,0.022
110100088,1,elektrický,celkový,0.99
110100088,1,elektrický,vodní,0.99
110100091,1,elektrický,celkový,0.1
110100091,1,tepelný,celkový,0.161
110100091,1,elektrický,plynový a spalovací,0.1
110100091,1,tepelný,plynový a spalovací,0.161
110100091,2,elektrický,celkový,0.1
110100091,2,tepelný,celkový,0.161
110100091,2,elektrický,plynový a spalovací,0.1
110100091,2,tepelný,plynový a spalovací,0.161
110100095,1,elektrický,celkový,0.03
110100095,1,elektrický,vodní,0.03
110100098,1,elektrický,celkový,0.085
110100098,1,elektrický,vodní,0.085
110100099,1,elektrický,celkový,0.022
110100099,1,tepelný,celkový,0.022
110100099,1,elektrický,plynový a spalovací,0.022
110100099,1,tepelný,plynový a spalovací,0.022
110100106,1,elektrický,celkový,0.03
110100106,1,tepelný,celkový,0.062
110100106,1,elektrický,plynový a spalovací,0.03
110100106,1,tepelný,plynový a spalovací,0.062
110100106,2,elektrický,celkový,0.03
110100106,2,tepelný,celkový,0.059
110100106,2,elektrický,plynový a spalovací,0.03
110100106,2,tepelný,plynový a spalovací,0.059
110100117,1,elektrický,celkový,1.96
110100117,1,elektrický,vodní,1.96
110100121,1,elektrický,celkový,0.095
110100121,1,elektrický,vodní,0.095
110100121,2,elektrický,celkový,0.426
110100121,2,elektrický,vodní,0.426
110100122,1,elektrický,celkový,0.06
110100122,1,elektrický,vodní,0.06
110100123,1,elektrický,celkový,0.07
110100123,1,elektrický,vodní,0.07
110100124,1,elektrický,celkový,0.48
110100124,1,tepelný,celkový,0.555
110100124,1,elektrický,plynový a spalovací,0.48
110100124,1,tepelný,plynový a spalovací,0.555
110100126,1,elektrický,celkový,1.7
110100126,1,elektrický,vodní,1.7
110100129,1,elektrický,celkový,150.5
110100129,1,tepelný,celkový,434.6
110100129,1,elektrický,parní,150.5
110100129,1,tepelný,parní,434.6
110100129,2,elektrický,celkový,0.13
110100129,2,tepelný,celkový,0.185
110100129,2,elektrický,plynový a spalovací,0.13
110100129,2,tepelný,plynový a spalovací,0.185
110100129,3,elektrický,celkový,10.5
110100129,3,tepelný,celkový,31.65
110100129,3,elektrický,parní,10.5
110100129,3,tepelný,parní,31.65
110100129,4,elektrický,celkový,93.5
110100129,4,tepelný,celkový,259.39
110100129,4,elektrický,parní,93.5
110100129,4,tepelný,parní,259.39
110100129,5,elektrický,celkový,19.56
110100129,5,elektrický,plynový a spalovací,19.56
110100130,1,elektrický,celkový,0.007
110100130,1,elektrický,vodní,0.007
110100131,1,elektrický,celkový,44.058
110100131,1,tepelný,celkový,412.0
110100131,1,elektrický,parní,44.058
110100131,1,tepelný,parní,412.0
110100132,1,elektrický,celkový,0.2
110100132,1,tepelný,celkový,0.277
110100132,1,elektrický,plynový a spalovací,0.2
110100132,1,tepelný,plynový a spalovací,0.277
110100132,2,elektrický,celkový,0.125
110100132,2,tepelný,celkový,0.163
110100132,2,elektrický,plynový a spalovací,0.125
110100132,2,tepelný,plynový a spalovací,0.163
110100132,3,elektrický,celkový,0.125
110100132,3,tepelný,celkový,0.177
110100132,3,elektrický,plynový a spalovací,0.125
110100132,3,tepelný,plynový a spalovací,0.177
110100132,5,elektrický,celkový,0.2
110100132,5,tepelný,celkový,0.253
110100132,5,elektrický,plynový a spalovací,0.2
110100132,5,tepelný,plynový a spalovací,0.253
110100138,1,elektrický,celkový,39.5
110100138,1,tepelný,celkový,235.75
110100138,1,elektrický,parní,39.5
110100138,1,tepelný,parní,235.75
110100138,2,elektrický,celkový,62.0
110100138,2,tepelný,celkový,347.0
110100138,2,elektrický,parní,62.0
110100138,2,tepelný,parní,347.0
110100144,1,elektrický,celkový,0.022
110100144,1,elektrický,vodní,0.022
110100146,2,elektrický,celkový,7.3
110100146,2,tepelný,celkový,49.8
110100146,2,elektrický,parní,7.3
110100146,2,tepelný,parní,49.8
110100146,3,elektrický,celkový,107.0
110100146,3,tepelný,celkový,262.0
110100146,3,elektrický,parní,107.0
110100146,3,tepelný,parní,262.0
110100146,4,elektrický,celkový,2040.0
110100146,4,tepelný,celkový,86.0
110100146,4,elektrický,jaderný,2040.0
110100146,4,tepelný,jaderný,86.0
110100146,5,elektrický,celkový,2250.0
110100146,5,tepelný,celkový,707.0
110100146,5,elektrický,jaderný,2250.0
110100146,5,tepelný,jaderný,707.0
110100146,6,elektrický,celkový,165.0
110100146,6,tepelný,celkový,485.0
110100146,6,elektrický,parní,165.0
110100146,6,tepelný,parní,485.0
110100146,10,elektrický,celkový,750.0
110100146,10,tepelný,celkový,1581.06
110100146,10,elektrický,parní,750.0
110100146,10,tepelný,parní,1581.06
110100146,12,elektrický,celkový,110.0
110100146,12,tepelný,celkový,49.8
110100146,12,elektrický,parní,110.0
110100146,12,tepelný,parní,49.8
110100146,15,elektrický,celkový,800.0
110100146,15,tepelný,celkový,120.0
110100146,15,elektrický,parní,800.0
110100146,15,tepelný,parní,120.0
110100146,19,elektrický,celkový,139.0
110100146,19,elektrický,vodní,139.0
110100146,20,elektrický,celkový,1.5
110100146,20,elektrický,vodní,1.5
110100146,21,elektrický,celkový,9.6
110100146,21,elektrický,vodní,9.6
110100146,22,elektrický,celkový,3.8
110100146,22,elektrický,vodní,3.8
110100146,23,elektrický,celkový,0.94
110100146,23,elektrický,vodní,0.94
110100146,24,elektrický,celkový,364.0
110100146,24,elektrický,vodní,364.0
110100146,25,elektrický,celkový,40.0
110100146,25,elektrický,vodní,40.0
110100146,26,elektrický,celkový,144.0
110100146,26,elektrický,vodní,144.0
110100146,27,elektrický,celkový,22.5
110100146,27,elektrický,vodní,22.5
110100146,28,elektrický,celkový,45.0
110100146,28,elektrický,přečerpávací,45.0
110100146,29,elektrický,celkový,13.88
110100146,29,elektrický,vodní,13.88
110100146,30,elektrický,celkový,475.0
110100146,30,elektrický,přečerpávací,475.0
110100146,31,elektrický,celkový,1.76
110100146,31,elektrický,vodní,1.76
110100146,32,elektrický,celkový,650.0
