cislo_licence,druh,technologie,mw
110100009,elektrický,celkový,22.005
110100009,elektrický,sluneční,0.055
110100009,elektrický,vodní,21.95
110100010,elektrický,celkový,0.013
110100010,elektrický,vodní,0.013
110100011,elektrický,celkový,0.019
110100011,elektrický,vodní,0.019
110100012,elektrický,celkový,0.33
110100012,elektrický,vodní,0.33
110100013,elektrický,celkový,0.195
110100013,elektrický,vodní,0.195
110100014,elektrický,celkový,0.029
110100014,elektrický,vodní,0.029
110100017,elektrický,celkový,0.06
110100017,elektrický,vodní,0.06
110100018,elektrický,celkový,0.08
110100018,elektrický,sluneční,0.005
110100018,elektrický,vodní,0.075
110100030,elektrický,celkový,0.035
110100030,elektrický,vodní,0.035
110100032,elektrický,celkový,0.007
110100032,elektrický,větrný,0.007
110100034,elektrický,celkový,0.17
110100034,elektrický,vodní,0.17
110100037,elektrický,celkový,0.18
110100037,elektrický,vodní,0.18
110100038,elektrický,celkový,0.008
110100038,elektrický,vodní,0.008
110100041,elektrický,celkový,0.055
110100041,elektrický,vodní,0.055
110100045,elektrický,celkový,0.033
110100045,elektrický,vodní,0.033
110100047,elektrický,celkový,0.03
110100047,elektrický,vodní,0.03
110100050,elektrický,celkový,0.254
110100050,tepelný,celkový,3.842
110100050,elektrický,plynový a spalovací,0.254
110100050,tepelný,plynový a spalovací,3.842
110100052,elektrický,celkový,0.645
110100052,elektrický,vodní,0.645
110100068,elektrický,celkový,0.066
110100068,elektrický,vodní,0.066
110100069,elektrický,celkový,0.03
110100069,elektrický,vodní,0.03
110100072,elektrický,celkový,0.43
110100072,tepelný,celkový,41.9
110100072,elektrický,parní,0.4
110100072,tepelný,parní,13.927
110100072,elektrický,sluneční,0.03
110100081,elektrický,celkový,3.175
110100081,elektrický,vodní,3.175
110100086,elektrický,celkový,0.132
110100086,elektrický,vodní,0.132
110100088,elektrický,celkový,0.99
110100088,elektrický,vodní,0.99
110100091,elektrický,celkový,0.2
110100091,tepelný,celkový,0.322
110100091,elektrický,plynový a spalovací,0.2
110100091,tepelný,plynový a spalovací,0.322
110100095,elektrický,celkový,0.03
110100095,elektrický,vodní,0.03
110100098,elektrický,celkový,0.085
110100098,elektrický,vodní,0.085
110100099,elektrický,celkový,0.022
110100099,tepelný,celkový,0.022
110100099,elektrický,plynový a spalovací,0.022
110100099,tepelný,plynový a spalovací,0.022
110100106,elektrický,celkový,0.06
110100106,tepelný,celkový,0.121
110100106,elektrický,plynový a spalovací,0.06
110100106,tepelný,plynový a spalovací,0.121
110100117,elektrický,celkový,1.96
110100117,elektrický,vodní,1.96
110100121,elektrický,celkový,0.521
110100121,elektrický,vodní,0.521
110100122,elektrický,celkový,0.06
110100122,elektrický,vodní,0.06
110100123,elektrický,celkový,0.07
110100123,elektrický,vodní,0.07
110100124,elektrický,celkový,0.48
110100124,tepelný,celkový,0.555
110100124,elektrický,plynový a spalovací,0.48
110100124,tepelný,plynový a spalovací,0.555
110100126,elektrický,celkový,1.7
110100126,elektrický,vodní,1.7
110100129,elektrický,celkový,274.19
110100129,tepelný,celkový,725.825
110100129,elektrický,parní,254.5
110100129,tepelný,parní,725.64
110100129,elektrický,plynový a spalovací,19.69
110100129,tepelný,plynový a spalovací,0.185
110100130,elektrický,celkový,0.007
110100130,elektrický,vodní,0.007
110100131,elektrický,celkový,44.058
110100131,tepelný,celkový,412.0
110100131,elektrický,parní,44.058
110100131,tepelný,parní,412.0
110100132,elektrický,celkový,0.65
110100132,tepelný,celkový,0.87
110100132,elektrický,plynový a spalovací,0.65
110100132,tepelný,plynový a spalovací,0.87
110100138,elektrický,celkový,101.5
110100138,tepelný,celkový,582.75
110100138,elektrický,parní,101.5
110100138,tepelný,parní,582.75
110100144,elektrický,celkový,0.022
110100144,elektrický,vodní,0.022
110100146,elektrický,celkový,9735.003
110100146,tepelný,celkový,5232.05
110100146,elektrický,jaderný,4290.0
110100146,tepelný,jaderný,793.0
110100146,elektrický,parní,2963.7
110100146,tepelný,parní,4439.05
110100146,elektrický,plynový a spalovací,569.5
110100146,elektrický,přečerpávací,1170.0
110100146,elektrický,vodní,741.803
110100159,elektrický,celkový,0.22
110100159,elektrický,vodní,0.22
110100161,elektrický,celkový,0.01
110100161,elektrický,vodní,0.01
110100169,elektrický,celkový,0.105
110100169,elektrický,vodní,0.105
110100173,elektrický,celkový,0.011
110100173,elektrický,vodní,0.011
110100175,elektrický,celkový,0.044
110100175,tepelný,celkový,0.09
110100175,elektrický,plynový a spalovací,0.044
110100175,tepelný,plynový a spalovací,0.09
110100176,elektrický,celkový,17.287
110100176,elektrický,sluneční,0.196
110100176,elektrický,vodní,17.091
110100180,elektrický,celkový,0.022
110100180,elektrický,vodní,0.022
110100183,elektrický,celkový,0.008
110100183,elektrický,vodní,0.008
110100187,elektrický,celkový,0.26
