cislo_licence,pocet_zdroju
110100009,36
110100010,2
110100011,1
110100012,1
110100013,1
110100014,2
110100017,2
110100018,2
110100030,1
110100032,1
110100034,1
110100037,1
110100038,1
110100041,1
110100045,3
110100047,1
110100050,2
110100052,6
110100068,3
110100069,1
110100072,2
110100081,12
110100086,2
110100088,3
110100091,2
110100095,1
110100098,2
110100099,1
110100106,2
110100117,2
110100121,3
110100122,2
110100123,2
110100124,1
110100126,1
110100129,11
110100130,2
110100131,3
110100132,4
110100138,6
110100144,2
110100146,72
110100159,3
110100161,1
110100169,3
110100173,1
110100175,2
110100176,44
110100180,1
110100183,1
110100187,2
110100188,1
110100190,4
110100191,1
110100195,2
110100197,1
110100200,13
110100202,2
110100207,1
110100208,3
110100210,2
110100211,1
110100218,1
110100220,2
110100224,8
110100225,2
110100228,1
110100229,4
110100230,25
110100248,2
110100257,2
110100264,3
110100268,1
110100277,3
110100292,2
110100296,1
110100297,5
110100300,6
110100301,6
110100303,1
110100304,1
110100309,2
110100313,1
110100314,1
110100316,3
110100318,1
110100323,3
110100325,4
110100330,1
110100331,2
110100333,2
110100337,1
110100338,3
110100339,53
110100340,4
110100346,2
110100348,2
110100353,1
110100354,1
110100356,1
110100357,2
110100360,2
110100361,2
110100367,2
110100377,1
110100382,2
110100390,2
110100391,2
110100393,4
110100399,2
110100411,29
110100430,2
110100434,1
110100435,1
110100440,3
110100453,4
110100457,2
110100458,1
110100468,1
110100472,2
110100477,2
110100479,3
110100482,4
110100485,2
110100489,1
110100490,26
110100491,1
110100493,4
110100494,2
110100495,1
110100496,1
110100521,2
110100522,1
110100523,8
110100532,1
110100533,1
110100534,1
110100535,1
110100536,8
110100543,1
110100544,4
110100547,2
110100550,30
110100561,2
110100566,4
110100571,10
110100572,1
110100575,2
110100579,2
110100581,1
110100582,2
110100584,1
110100587,1
110100588,1
110100589,1
110100591,2
110100592,2
110100593,1
110100595,4
110100596,2
110100598,4
110100601,4
110100602,2
110100607,1
110100615,1
110100616,2
110100617,4
110100619,2
110100629,3
110100632,1
110100634,5
110100637,1
110100638,3
110100641,1
110100642,2
110100652,2
110100654,2
110100659,3
110100663,2
110100664,1
110100667,3
110100670,1
110100671,2
110100672,2
110100675,2
110100689,2
110100693,3
110100695,2
110100696,3
110100697,2
110100705,3
110100718,1
110100719,1
110100721,2
110100722,1
110100723,5
110100724,2
110100725,2
110100728,1
110100737,1
110100739,1
110100744,1
110100751,1
110100763,2
110100766,1
110100767,1
110100769,3
110100772,3
110100774,8
110100778,1
110100779,2
110100781,2
110100784,3
110100786,1
110100787,2
110100790,1
110100791,2
110100792,1
110100794,1
110100796,1
110100797,2
110100798,2
110100799,6
110100802,1
110100807,1
110100808,1
110100809,1
110100811,22
110100812,2
110100814,2
110100815,1
110100817,2
110100820,2
110100822,1
110100823,2
110100824,1
110100826,1
110100827,1
110100828,1
110100829,4
110100830,2
110100835,1
110100836,1
110100841,2
110100852,1
110100853,1
110100858,2
110100859,2
110100860,1
110100869,3
110100887,25
110100889,1
110100901,2
110100902,2
110100904,1
110100910,1
110100913,3
110100917,3
110100918,3
110100919,3
110100922,1
110100923,3
110100924,2
110100939,4
110100949,2
110100952,2
110100958,1
110100959,1
110100960,3
110100962,6
110100969,1
110100970,1
110100971,2
110100973,2
110100975,1
110100976,4
110100987,9
110100991,1
110100995,1
110101006,6
110101011,2
110101012,4
110101018,2
110101019,1
110101020,1
110101021,2
110101022,2
110101023,1
110101024,2
110101026,1
110101027,2
110101050,1
110101051,2
110101052,2
110101053,1
110101054,3
110101056,1
110101058,1
110101062,1
110101063,3
110101064,1
110101066,1
110101074,3
110101076,1
110101077,1
110101106,3
110101115,1
110101116,2
110101119,3
110101121,1
110101127,3
110101128,2
110101129,1
110101136,3
110101140,1
110101141,1
110101151,2
110101152,1
110101153,6
110101159,9
110101166,3
110101167,1
110101173,1
110101176,2
110101193,1
110101198,1
110101202,1
110101211,2
110101213,2
110101218,2
110101222,1
110101223,1
110101224,2
110101234,1
110101235,1
110101237,3
110101239,2
110101243,2
110101251,3
110101252,1
110101254,1
110101257,11
110101258,2
110101262,1
110101263,1
110101265,1
110101266,2
110101268,1
110101270,2
110101271,1
110101272,2
110101273,5
110101278,1
110101303,1
110101304,2
110101308,5
110101312,1
110101315,2
110101316,3
110101318,2
110101320,1
110101327,6
110101329,1
110101343,3
110101349,3
110101350,4
110101352,1
110101356,1
110101357,3
110101358,3
110101359,2
110101362,2
110101364,1
110101365,2
110101366,6
110101370,4
110101376,1
110101383,1
110101384,5
110101385,1
110101386,1
110101387,2
110101390,2
110101401,1
110101403,1
110101404,2
110101405,1
110101409,2
110101415,6
110101416,1
110101420,1
110101428,1
110101430,4
110101431,2
110101432,2
110101434,6
110101445,1
110101446,1
110101448,1
110101449,5
110101450,2
110101453,3
110101457,1
110101458,1
110101459,2
110101460,1
110101464,4
110101465,1
110101466,1
110101468,4
110101469,3
110101475,1
110101481,1
110101483,8
110101487,2
110101488,2
110101492,3
110101494,1
110101495,1
110101500,3
110101501,2
110101504,1
110101506,1
110101507,2
110101510,1
110101511,1
110101512,4
110101516,1
110101517,1
110101522,26
110101525,2
110101530,3
110101534,4
110101536,2
110101545,1
110101548,4
110101551,1
110101557,1
110101558,6
110101559,2
110101561,24
110101562,1
110101563,1
110101565,6
110101568,1
110101570,2
110101572,2
110101576,1
110101577,1
110101578,2
110101582,2
110101583,2
110101603,2
110101605,2
110101606,1
110101607,1
110101608,1
110101612,1
110101614,1
110101615,1
110101621,2
110101631,1
110101639,1
110101640,2
110101644,1
110101649,4
110101650,2
110101651,2
110101652,1
110101653,2
110101654,7
110101657,1
110101658,1
110101662,3
110101665,2
110101666,1
110101669,1
110101675,2
110101677,2
110101678,1
110101680,1
110101682,2
110101683,2
110101684,2
110101686,1
110101691,2
110101695,2
110101696,13
110101698,1
110101703,1
110101707,2
110101708,2
110101711,1
110101713,1
110101715,3
110101716,1
110101718,2
110101722,2
110101725,1
110101735,1
110101738,1
110101746,3
110101750,2
110101754,5
110101760,2
110101761,1
110101762,1
110101763,1
110101764,1
110101766,1
110101767,1
110101769,4
110101770,1
110101771,5
110101772,1
110101773,1
110101774,3
110101779,1
110101781,1
110101783,2
110101788,1
110101789,4
110101790,2
110101808,2
110101812,1
110101813,2
110101817,1
110101818,3
110101819,2
110101824,1
110101825,2
110101826,5
110101827,2
110101828,1
110101832,1
110101833,2
110101834,4
110101836,3
110101843,2
110101853,1
110101856,3
110101862,1
110101866,1
110101870,17
110101872,3
110101873,2
110101881,1
110101883,3
110101889,2
110101892,2
110101893,1
110101896,1
110101900,1
110101901,1
110101905,2
110101907,3
110101908,1
110101909,3
110101910,1
110101933,1
110101934,1
110101936,1
110101937,1
110101938,1
110101941,1
110101942,5
110101943,1
110101944,2
110101946,4
110101947,2
110101949,2
110101951,2
110101953,2
110101954,1
110101955,2
110101957,4
110101960,22
110101961,3
110101962,6
110101963,1
110101964,1
110101994,1
110102016,2
110102021,2
110102022,3
110102023,1
110102024,1
110102028,2
110102036,2
110102037,13
110102039,1
110102045,3
110102046,1
110102052,1
110102053,2
110102065,1
110102067,2
110102075,1
110102077,2
110102078,2
110102080,1
110102081,2
110102082,2
110102087,1
110102088,3
110102091,1
110102094,4
110102122,1
110102593,3
110102705,2
110102710,3
110102713,1
110102718,1
110102719,2
110102722,2
110102723,1
110102738,1
110102739,3
110102740,3
110102744,1
110102746,1
110102748,1
110102749,1
110102799,1
110102810,6
110102813,2
110102814,2
110102828,2
110102833,1
110102838,1
110102839,1
110102847,1
110102854,1
110102857,5
110102858,1
110102861,1
110102862,1
110102864,1
110102865,1
110102866,2
110102874,2
110102876,1
110102885,2
110102889,1
110102893,1
110102911,2
110102937,1
110102938,1
110102939,2
110102944,1
110102996,1
110103011,1
110103015,2
110103018,2
110103025,2
110103028,1
110103048,1
110103063,7
110103069,2
110103072,1
110103097,5
110103098,8
110103111,1
110103115,2
110103116,2
