cislo_licence,ev_cislo,nazev,psc,obec,ulice,cp,okres,kraj,pocet_zdroju
310100016,1,Centrální kotelna,67128,Velký Karlov,Velký Karlov,72,Znojmo,Jihomoravský,2
310100019,1,Plynová kotelna K 1 Lnářská,39601,Humpolec,Lnářská,473/3,Pelhřimov,Vysočina,3
310100019,2,Plynová kotelna K2 Soukenická,39601,Humpolec,Soukenická,706,Pelhřimov,Vysočina,2
310100019,3,Plynová kotelna K 3 Fugnerova,39601,Humpolec,Fugnerova,1640,Pelhřimov,Vysočina,2
310100019,4,K5 Na Rybníčku,39601,Humpolec,Na Rybníčku,3010/2,Pelhřimov,Vysočina,3
310100020,1,Bloková kotelna bytovek,37312,Borovany,Na výsluní,18,České Budějovice,Jihočeský,2
310100053,1,"TEPLÁRENSKÁ SPOLEČNOST HLINSKO, spol. s r.o.",53901,Hlinsko,Družstevní,1523,Chrudim,Pardubický,4
310100053,2,Kotelna ČSA,53901,Hlinsko,ČSA,386,Chrudim,Pardubický,7
310100063,2,Plynová kotelna č. 21,76824,Hulín,Družba,1198,Kroměříž,Zlínský,5
310100066,1,K 1 plynová,39111,Planá nad Lužnicí,ČSLA,516,Tábor,Jihočeský,7
310100066,2,K 2 plynová,39111,Planá nad Lužnicí,Zákostelní,661,Tábor,Jihočeský,5
310100076,1,"Befacoal s.r.o., středisko Dobříš",26301,Dobříš,Na zlaté stezce,1075,Příbram,Středočeský,3
310100076,2,Befacoal s.r.o. středisko Oslavany,66412,Oslavany,Nádražní,9,Brno-venkov,Jihomoravský,3
310100079,1,Výtopna-Pančava,33441,Dobřany,Nádražní,985,Plzeň-jih,Plzeňský,3
310100087,1,Kotelna č. 1,53501,Přelouč,Československé armády,959,Pardubice,Pardubický,2
310100093,1,"Plynová kotelna ""A""",67571,Náměšť nad Oslavou,Husova,545,Třebíč,Vysočina,3
310100093,2,"Plynová kotelna ""B""",67571,Náměšť nad Oslavou,Nad Příhořím,1053,Třebíč,Vysočina,4
310100093,3,"Plynová kotelna ""C""",67571,Náměšť nad Oslavou,Jiráskova,767,Třebíč,Vysočina,4
310100093,4,"Plynová kotelna ""D""",67571,Náměšť nad Oslavou,Zborovská,935,Třebíč,Vysočina,4
310100096,1,Kotelna DM VOŠ a SPŠ Volyně,38701,Volyně,Domova mládeže,597,Strakonice,Jihočeský,4
310100103,1,PK Bodlákova,41172,Hoštka-Kochovice,Bodlákova,77,Litoměřice,Ústecký,3
310100103,2,PK Na Pankráci,41119,Mšené-lázně,Na Pankráci,351,Litoměřice,Ústecký,4
310100134,1,Výtopna Na Sídlišti,79376,Zlaté Hory,Na Sídlišti,697,Jeseník,Olomoucký,2
310100145,2,Teplárna Dvůr Králové nad Labem,54401,Dvůr Králové nad Labem,28.října 196,28,Trutnov,Královéhradecký,6
310100145,3,Elektrárna Hodonín,69523,Hodonín,U elektrárny,3030/1,Hodonín,Jihomoravský,3
310100145,4,Jaderná elektrárna Dukovany,67550,Dukovany,Dukovany,269,Třebíč,Vysočina,8
310100145,5,Jaderná elektrárna Temelín,37305,Temelín,Temelín,,České Budějovice,Jihočeský,7
310100145,6,Elektrárna Poříčí,54137,Trutnov,Kladská,466,Trutnov,Královéhradecký,5
310100145,9,Elektrárna  Prunéřov  II.,43201,Kadaň,Prunéřov,375,Chomutov,Ústecký,3
310100145,11,Elektrárna  Ledvice  III.,41848,Bílina,Ledvice,,Teplice,Ústecký,1
310100145,14,Elektrárna  Tušimice,43201,Kadaň,Tušimice,9,Chomutov,Ústecký,5
310100145,20,Teplárna Trmice,40004,Trmice,Edisonova,,Ústí nad Labem,Ústecký,10
310100145,22,El. Ledvice IV B6,41848,Bílina,Bílina,,Teplice,Ústecký,1
310100151,1,Teplárna,29471,Benátky nad Jizerou,Ořechová,,Mladá Boleslav,Středočeský,4
310100151,2,Výtopna,29471,Benátky nad Jizerou,Husovo náměstí,39,Mladá Boleslav,Středočeský,2
310100156,1,Plynová kotelna  PK  14,76901,Holešov,Novosady,1597,Kroměříž,Zlínský,3
310100156,2,PLYN.KOTELNA PK-20,76901,Holešov,Masarykova,1567,Kroměříž,Zlínský,5
310100156,3,Plynová kotelna  PK-33,76901,Holešov,Novosady,1244,Kroměříž,Zlínský,4
310100156,4,Plynová kotelna  PK-34,76901,Holešov,Havlíčkova,1389/15,Kroměříž,Zlínský,3
310100156,5,Plynová kotelna  PK  35,76901,Holešov,Slovenská,426,Kroměříž,Zlínský,5
310100167,1,Kotelna K-2 Holandská,66902,Znojmo,Holandská,3,Znojmo,Jihomoravský,2
310100167,2,Kotelna K-3 Holandská,66902,Znojmo,Holandská,4,Znojmo,Jihomoravský,2
310100167,3,Kotelna K-5 Holandská,66902,Znojmo,Holandská,8,Znojmo,Jihomoravský,2
310100167,4,Kotelna K-7 Sokolovská,66902,Znojmo,Sokolovská,2,Znojmo,Jihomoravský,2
310100167,6,Kotelna K-10 Anínská,66902,Znojmo,Anínská,3,Znojmo,Jihomoravský,2
310100167,7,Kotelna K-11 Anínská,66902,Znojmo,Anínská,3296/1,Znojmo,Jihomoravský,2
310100167,8,Kotelna K-12 Vídeňská,66902,Znojmo,Vídeňská,,Znojmo,Jihomoravský,3
310100167,9,Kotelna K-13 Vídeňská,66902,Znojmo,Vídeňská,,Znojmo,Jihomoravský,2
310100167,11,Kotelna Pražská 14,66902,Znojmo,Pražská,,Znojmo,Jihomoravský,3
310100167,14,Kotelna Přímětice PK1,66902,Znojmo,Přímětice,,Znojmo,Jihomoravský,3
310100167,15,Kotelna Přímětice PK3,66902,Znojmo,Přímětice,,Znojmo,Jihomoravský,3
310100167,16,Kotelna Sídliště Pražská 1,66902,Znojmo,Pražská,,Znojmo,Jihomoravský,3
310100167,19,Kotelna Bolzánova 31,66902,Znojmo,Bolzánova,2434/31,Znojmo,Jihomoravský,3
310100167,20,Kotelna Dukelských bojovníků,66902,Znojmo,Dukelských bojovníků,3459/148,Znojmo,Jihomoravský,2
310100167,21,Kotelna 28. října 24,66902,Znojmo,28. října 2286/2,28,Znojmo,Jihomoravský,4
310100167,22,Kotelna Smetanova 20,66902,Znojmo,Smetanova,2364/20,Znojmo,Jihomoravský,3
310100167,23,Kotelna DPS - Vančurova 17,66902,Znojmo,Vančurova,,Znojmo,Jihomoravský,3
310100167,24,Kotelna Smetanova 32,66902,Znojmo,Smetanova,2359/32,Znojmo,Jihomoravský,2
310100170,1,Teplárna,30410,Plzeň,Doubravecká,2578/1,Plzeň-město,Plzeňský,4
310100170,6,ZEVO Chotíkov,33011,Chotíkov,Chotíkov,,Plzeň-sever,Plzeňský,1
310100170,7,ENERGETIKA,31600,Plzeň,Tylova,,Plzeň-město,Plzeňský,3
310100178,3,"Teplárna České Budějovice, a.s.",37215,České Budějovice,Novohradská,32,České Budějovice,Jihočeský,4
310100178,4,Výtopna Vráto,37215,České Budějovice,Okružní,,České Budějovice,Jihočeský,1
310100179,1,Kotelna cukrovar Břeclav,69002,Břeclav,Národních hrdinů,3403/22,Břeclav,Jihomoravský,6
310100179,2,Kotelna V Malém háji K1,25070,Odolena Voda,V Malém háji,349,Praha-východ,Středočeský,4
310100179,6,Teplárna Králův Dvůr,26701,Králův Dvůr,náměstí Míru,380,Beroun,Středočeský,4
310100179,7,Kotelna Hlinky,26601,Beroun,Pod studánkou,,Beroun,Středočeský,4
310100179,8,Kotelna Centrum,26601,Beroun,U cukrovaru,,Beroun,Středočeský,3
310100179,9,Teplárna Náchod,54735,Náchod,Plhovská,544,Náchod,Královéhradecký,4
310100179,10,Areál Trója/Sol,1800P,raha 8,Hnězdenská/Olštýnská,607/1,,,4
310100179,11,Ostrava Plynární,70272,Ostrava,Moravská Ostrava,,,,4
310100179,13,CZT Rumburk-Podhájí,40801,Rumburk,Lesní,92,Děčín,Ústecký,4
310100179,14,Amati Kraslice,35801,Kraslice,Dukelská,,Sokolov,Karlovarský,2
310100179,15,Mánesovo nábřeží Náchod,54701,Náchod,Mánesovo nábřeží,,Náchod,Královéhradecký,4
310100179,16,SUN Náchod,54701,Náchod,Zelená,157,Náchod,Královéhradecký,1
310100179,17,Břidličná,79351,Břidličná,Jesenická,,Bruntál,Moravskoslezský,1
310100179,18,Troja SOL,18100,Praha,Olštýnská,607/1,,,1
310100179,19,K1 Tylex Letovice,67961,Letovice,Brněnská,,Blansko,Jihomoravský,2
310100179,20,K2 Tylex Letovice,67961,Letovice,Brněnská,,Blansko,Jihomoravský,2
310100179,21,K3 Tylex Letovice,67961,Letovice,Brněnská,,Blansko,Jihomoravský,2
