cislo_licence,ev_cislo,druh,technologie,mw
310100016,1,tepelný,celkový,1.46
310100016,1,tepelný,teplovodní,1.46
310100019,1,elektrický,celkový,0.02
310100019,1,tepelný,celkový,2.72
310100019,1,tepelný,teplovodní,2.72
310100019,2,tepelný,celkový,1.0
310100019,2,tepelný,teplovodní,1.0
310100019,3,tepelný,celkový,1.7
310100019,3,tepelný,teplovodní,1.7
310100019,4,elektrický,celkový,0.02
310100019,4,tepelný,celkový,4.24
310100019,4,tepelný,teplovodní,4.24
310100019,4,tepelný,výkon kvet,0.04
310100020,1,tepelný,celkový,0.5
310100020,1,tepelný,teplovodní,0.5
310100053,1,elektrický,celkový,0.11
310100053,1,tepelný,celkový,8.77
310100053,1,tepelný,parní,2.1
310100053,1,tepelný,teplovodní,6.67
310100053,1,tepelný,výkon kvet,2.1
310100053,2,tepelný,celkový,0.78
310100053,2,tepelný,teplovodní,0.78
310100063,2,elektrický,celkový,0.15
310100063,2,tepelný,celkový,4.368
310100063,2,tepelný,teplovodní,4.368
310100063,2,tepelný,výkon kvet,0.226
310100066,1,elektrický,celkový,0.009
310100066,1,tepelný,celkový,1.845
310100066,1,tepelný,teplovodní,1.845
310100066,1,tepelný,výkon kvet,1.845
310100066,2,elektrický,celkový,0.009
310100066,2,tepelný,celkový,0.919
310100066,2,tepelný,teplovodní,0.919
310100066,2,tepelný,výkon kvet,0.919
310100076,1,tepelný,celkový,20.549
310100076,1,tepelný,parní,20.549
310100076,2,elektrický,celkový,0.45
310100076,2,tepelný,celkový,40.0
310100076,2,tepelný,parní,40.0
310100079,1,tepelný,celkový,4.25
310100079,1,tepelný,teplovodní,4.25
310100087,1,tepelný,celkový,0.45
310100087,1,tepelný,teplovodní,0.45
310100093,1,tepelný,celkový,1.72
310100093,1,tepelný,teplovodní,1.72
310100093,2,tepelný,celkový,1.676
310100093,2,tepelný,teplovodní,1.676
310100093,3,elektrický,celkový,0.1
310100093,3,tepelný,celkový,1.361
310100093,3,tepelný,teplovodní,1.361
310100093,3,tepelný,výkon kvet,0.161
310100093,4,elektrický,celkový,0.1
310100093,4,tepelný,celkový,1.211
310100093,4,tepelný,teplovodní,1.211
310100093,4,tepelný,výkon kvet,0.161
310100096,1,elektrický,celkový,0.025
310100096,1,tepelný,celkový,2.747
310100096,1,tepelný,teplovodní,2.747
310100096,1,tepelný,výkon kvet,0.047
310100103,1,tepelný,celkový,0.229
310100103,1,tepelný,teplovodní,0.229
310100103,2,tepelný,celkový,0.396
310100103,2,tepelný,teplovodní,0.396
310100134,1,tepelný,celkový,4.99
310100134,1,tepelný,parní,4.99
310100145,2,elektrický,celkový,7.3
310100145,2,tepelný,celkový,67.1
310100145,2,tepelný,parní,67.1
310100145,2,tepelný,výkon kvet,49.8
310100145,3,elektrický,celkový,107.0
310100145,3,tepelný,celkový,275.0
310100145,3,tepelný,parní,275.0
310100145,4,elektrický,celkový,2040.0
310100145,4,tepelný,celkový,86.0
310100145,4,tepelný,parní,86.0
310100145,4,tepelný,výkon kvet,86.0
310100145,5,elektrický,celkový,2250.0
310100145,5,tepelný,celkový,791.0
310100145,5,tepelný,horkovodní,791.0
310100145,5,tepelný,výkon kvet,707.0
310100145,6,elektrický,celkový,165.0
310100145,6,tepelný,celkový,568.5
310100145,6,tepelný,parní,568.5
310100145,9,elektrický,celkový,750.0
310100145,9,tepelný,celkový,1581.06
310100145,9,tepelný,parní,1581.06
310100145,9,tepelný,výkon kvet,300.0
310100145,11,elektrický,celkový,110.0
310100145,11,tepelný,celkový,49.8
310100145,11,tepelný,parní,44.0
310100145,11,tepelný,horkovodní,5.8
310100145,14,elektrický,celkový,800.0
310100145,14,tepelný,celkový,1859.0
310100145,14,tepelný,parní,1852.0
310100145,14,tepelný,horkovodní,7.0
310100145,20,elektrický,celkový,89.0
310100145,20,tepelný,celkový,603.26
310100145,20,tepelný,parní,603.26
310100145,20,tepelný,výkon kvet,305.42
310100145,22,elektrický,celkový,660.0
310100145,22,tepelný,celkový,1288.13
310100145,22,tepelný,parní,1288.13
310100145,22,tepelný,výkon kvet,17.0
310100151,1,elektrický,celkový,0.48
310100151,1,tepelný,celkový,7.701
310100151,1,tepelný,teplovodní,7.701
310100151,1,tepelný,výkon kvet,0.601
310100151,2,tepelný,celkový,1.675
310100151,2,tepelný,teplovodní,1.675
310100156,1,tepelný,celkový,0.36
310100156,1,tepelný,teplovodní,0.36
310100156,2,elektrický,celkový,0.125
310100156,2,tepelný,celkový,4.827
310100156,2,tepelný,teplovodní,4.827
310100156,2,tepelný,výkon kvet,0.177
310100156,3,elektrický,celkový,0.2
310100156,3,tepelný,celkový,4.117
310100156,3,tepelný,teplovodní,4.117
310100156,3,tepelný,výkon kvet,0.277
310100156,4,tepelný,celkový,0.285
310100156,4,tepelný,teplovodní,0.285
310100156,5,elektrický,celkový,0.147
310100156,5,tepelný,celkový,2.498
310100156,5,tepelný,teplovodní,2.498
310100156,5,tepelný,výkon kvet,0.208
310100167,1,tepelný,celkový,0.81
310100167,1,tepelný,teplovodní,0.81
310100167,2,tepelný,celkový,0.8
310100167,2,tepelný,teplovodní,0.8
