cislo_licence,druh,technologie,mw
310100016,tepelný,celkový,1.46
310100016,tepelný,teplovodní,1.46
310100019,elektrický,celkový,0.04
310100019,tepelný,celkový,9.66
310100019,tepelný,teplovodní,9.66
310100019,tepelný,výkon kvet,0.04
310100020,tepelný,celkový,0.5
310100020,tepelný,teplovodní,0.5
310100053,elektrický,celkový,0.11
310100053,tepelný,celkový,9.55
310100053,tepelný,parní,2.1
310100053,tepelný,teplovodní,7.45
310100053,tepelný,výkon kvet,2.1
310100063,elektrický,celkový,0.15
310100063,tepelný,celkový,4.368
310100063,tepelný,teplovodní,4.368
310100063,tepelný,výkon kvet,0.226
310100066,elektrický,celkový,0.018
310100066,tepelný,celkový,2.764
310100066,tepelný,teplovodní,2.764
310100066,tepelný,výkon kvet,2.764
310100076,elektrický,celkový,0.45
310100076,tepelný,celkový,60.549
310100076,tepelný,parní,60.549
310100079,tepelný,celkový,4.25
310100079,tepelný,teplovodní,4.25
310100087,tepelný,celkový,0.45
310100087,tepelný,teplovodní,0.45
310100093,elektrický,celkový,0.2
310100093,tepelný,celkový,5.968
310100093,tepelný,teplovodní,5.968
310100093,tepelný,výkon kvet,0.322
310100096,elektrický,celkový,0.025
310100096,tepelný,celkový,2.747
310100096,tepelný,teplovodní,2.747
310100096,tepelný,výkon kvet,0.047
310100103,tepelný,celkový,0.625
310100103,tepelný,teplovodní,0.625
310100134,tepelný,celkový,4.99
310100134,tepelný,parní,4.99
310100145,elektrický,celkový,6978.3
310100145,tepelný,celkový,7168.85
310100145,tepelný,parní,6365.05
310100145,tepelný,horkovodní,803.8
310100145,tepelný,výkon kvet,1465.22
310100151,elektrický,celkový,0.48
310100151,tepelný,celkový,9.376
310100151,tepelný,teplovodní,9.376
310100151,tepelný,výkon kvet,0.601
310100156,elektrický,celkový,0.472
310100156,tepelný,celkový,12.087
310100156,tepelný,teplovodní,12.087
310100156,tepelný,výkon kvet,0.662
310100167,tepelný,celkový,31.705
310100167,tepelný,teplovodní,31.705
310100170,elektrický,celkový,254.5
310100170,tepelný,celkový,743.673
310100170,tepelný,parní,743.673
310100170,tepelný,výkon kvet,724.49
310100178,elektrický,celkový,44.058
310100178,tepelný,celkový,456.4
310100178,tepelný,parní,456.4
310100178,tepelný,výkon kvet,412.0
310100179,elektrický,celkový,11.623
310100179,tepelný,celkový,166.735
310100179,tepelný,parní,61.066
310100179,tepelný,horkovodní,15.8
310100179,tepelný,teplovodní,89.869
310100179,tepelný,výkon kvet,13.937
310100198,tepelný,celkový,69.825
310100198,tepelný,horkovodní,57.6
310100198,tepelný,teplovodní,12.225
310100204,elektrický,celkový,0.4
310100204,tepelný,celkový,26.258
310100204,tepelný,parní,17.289
310100204,tepelný,teplovodní,8.969
310100204,tepelný,výkon kvet,13.927
310100206,elektrický,celkový,101.5
310100206,tepelný,celkový,612.64
310100206,tepelný,parní,594.2
310100206,tepelný,horkovodní,18.44
310100206,tepelný,výkon kvet,594.2
310100212,tepelný,celkový,1.24
310100212,tepelný,teplovodní,1.24
310100213,tepelný,celkový,0.157
310100213,tepelný,teplovodní,0.157
310100233,elektrický,celkový,0.06
310100233,tepelný,celkový,7.971
310100233,tepelný,teplovodní,7.971
310100233,tepelný,výkon kvet,0.121
310100242,elektrický,celkový,1.232
310100242,tepelný,celkový,58.904
310100242,tepelný,parní,44.26
310100242,tepelný,teplovodní,14.644
310100242,tepelný,výkon kvet,44.26
310100259,elektrický,celkový,26.0
310100259,tepelný,celkový,84.13
310100259,tepelný,parní,84.13
310100259,tepelný,výkon kvet,84.13
310100260,tepelný,celkový,3.79
310100260,tepelný,teplovodní,3.79
310100265,tepelný,celkový,22.92
310100265,tepelný,teplovodní,22.92
310100267,elektrický,celkový,0.05
310100267,tepelný,celkový,0.94
310100267,tepelný,teplovodní,0.94
310100267,tepelný,výkon kvet,0.08
310100287,elektrický,celkový,1.195
310100287,tepelný,celkový,11.26
310100287,tepelný,teplovodní,11.26
310100287,tepelný,výkon kvet,1.26
310100302,elektrický,celkový,460.0
310100302,tepelný,celkový,1454.3
310100302,tepelný,parní,1338.0
310100302,tepelný,horkovodní,116.3
310100302,tepelný,výkon kvet,840.0
310100305,elektrický,celkový,130.5
310100305,tepelný,celkový,1045.935
310100305,tepelný,parní,518.1
310100305,tepelný,horkovodní,507.82
310100305,tepelný,teplovodní,20.015
310100305,tepelný,výkon kvet,438.9
310100320,tepelný,celkový,2.12
310100320,tepelný,teplovodní,2.12
310100326,tepelný,celkový,2.72
310100326,tepelný,teplovodní,2.72
310100341,tepelný,celkový,14.03
310100341,tepelný,teplovodní,14.03
310100343,elektrický,celkový,0.2
310100343,tepelný,celkový,7.617
310100343,tepelný,teplovodní,7.617
310100343,tepelný,výkon kvet,0.252
310100371,tepelný,celkový,13.732
310100371,tepelný,teplovodní,13.732
310100374,elektrický,celkový,1.126
310100374,tepelný,celkový,5.146
310100374,tepelný,teplovodní,5.146
310100374,tepelný,výkon kvet,0.946
310100384,elektrický,celkový,0.9
310100384,tepelný,celkový,34.662
310100384,tepelný,parní,13.5
310100384,tepelný,teplovodní,21.162
310100384,tepelný,výkon kvet,14.012
310100386,elektrický,celkový,155.313
310100386,tepelný,celkový,661.85
310100386,tepelný,parní,661.85
310100386,tepelný,výkon kvet,661.85
310100388,tepelný,celkový,1.3
310100388,tepelný,teplovodní,1.3
310100392,elektrický,celkový,21.733
310100392,tepelný,celkový,351.45
310100392,tepelný,parní,351.45
310100392,tepelný,výkon kvet,351.45
310100398,tepelný,celkový,4.195
